name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Fate and Life: The Mystery of Vaulinhorn,05-04-2024,5595,12.0,51279.0,4.6,80.0,Indie,Celestial Novel,Celestial Novel,2549200
California Swingers Club - Season 1: Sea Swap,13-03-2024,7135,10.0,51169.0,1.3,59.0,Indie,Swingers Club,Swingers Club,2804310
Pixel Art Academy: Learn Mode,05-08-2024,5114,12.0,51096.0,3.4,97.0,Indie,Retronator,Matej 'Retro' Jan,2330360
My Shameless StepMom,18-05-2024,9167,10.0,51051.0,1.5,71.0,Indie,Lust Desires 🖤,Lust Desires 🖤,2889290
Between Horizons,25-03-2024,4113,16.0,50813.0,4.5,92.0,Indie,Assemble Entertainment,DigiTales Interactive,1921980
Colonize,15-02-2024,3988,16.0,50645.0,6.1,45.0,Indie,CreativeForge Games,Rembrosoft,1573590
The Crimson Diamond,15-08-2024,3957,15.0,50297.0,6.8,99.0,Indie,Julia Minamata,Julia Minamata,1098770
Inverted Angel,05-07-2024,9298,7.0,50253.0,5.3,90.0,Indie,SCIKA,SCIKA,2894960
Regency Solitaire II,22-02-2024,4177,15.0,50242.0,8.4,98.0,Indie,Grey Alien Games,Grey Alien Games,2137470
南栀 Unwavering love,28-02-2024,9559,9.0,50240.0,5.1,,Indie,白露社,白露社,2712580
My MILF Stepmom 2: Family Party💋,04-04-2024,8883,7.0,50102.0,1.9,80.0,Indie,DuaWolf Studio,DuaWolf,2694600
